SubGroupName,Product Code,Product Name
GIRLS WEAR,71,GIRLS HALIMA SULTHANA
WOMENS PARTY  WEAR,72,WOMENS HALIMA SULTAN
WOMENS PARTY  WEAR,73,SHARARA
MENS WEAR,74,MENS JACKET
BOYS WEAR,75,kids wear 
GIFT ITEM,76,PRESER COOKER
MENS WEAR,77,GENTS CHAPPALS
WOMENS PARTY  WEAR,78,WOMENS PARTY WEAR
MENS WEAR,79,MENS SOCKS
GIRLS WEAR,80,GIRLS TOP
GIRLS WEAR,81,Girls Frocks
WOMENS PARTY  WEAR,82,LD LEGGINGS(NOT)
GIRLS WEAR,83,GIRLS PANJABI DRESS 
MENS WEAR,84,MENS 3/4 SHORTS
MENS WEAR,85,MENS STARUGS
BOYS WEAR,86,BOYS KURTHA PAYJAMA
BOYS WEAR,87,BOYS VESTRN
BOYS WEAR,88,Boys Innerwear
BOYS WEAR,89,Boys 3/4 Short
BOYS WEAR,90,Boys Track Pant
GIRLS WEAR,91,Girls Inner Wear
WOMENS PARTY  WEAR,92,LADIES INNER WEAR
WOMENS PARTY  WEAR,93,WOMENS SLEEPS 
WOMENS PARTY  WEAR,94,Ladies Bra
WOMENS PARTY  WEAR,95,LADIES PLAZO SET
WOMENS PARTY  WEAR,96,LADIES JEANS
WOMENS PARTY  WEAR,97,LADIES JEGGINS
WOMENS PARTY  WEAR,98,Ladies Chunies (NOT)
WOMENS PARTY  WEAR,99,LADIES SHIRTS
WOMENS PARTY  WEAR,100,LADIES SHURUGS
WOMENS PARTY  WEAR,101,LADIES JACKET
MENS WEAR,102,MENS JEANS JACKET 
WOMENS PARTY  WEAR,103,WOMENS GOWN
BOYS WEAR,104,BOYS JEANS
WOMENS PARTY  WEAR,105,CROP TOP
GIRLS WEAR,106,GIRLS JACKET
WOMENS PARTY  WEAR,107,LADIES DUPATTA
BOYS WEAR,108,BOYS NIGHT WEAR
GIRLS WEAR,109,GIRLS NIGHT WEAR 
GIRLS WEAR,110,NEW BORN
WOMENS PARTY  WEAR,111,LADIES SKIRT
WOMENS PARTY  WEAR,112,LADIES PATIYALA
WOMENS PARTY  WEAR,113,LADIES WESTERN WEAR
WOMENS PARTY  WEAR,114,LADIES CROP TOP
GIRLS WEAR,115,GIRLS KURTI
GIRLS WEAR,116,GIRLS PLAZO
MENS WEAR,117,MENS KURTHA
BOYS WEAR,118,BOYS SWEATER
MENS WEAR,119,MENS 4 PC SUIT
GIRLS WEAR,120,GIRLS CHUDIDHAR
GIRLS WEAR,121,GIRLS CROP TOP
GIRLS WEAR,122, GIRLS L F COAT
WOMENS PARTY  WEAR,123,LEHENGA
GIRLS WEAR,124,G R TOP PANT
GIRLS WEAR,125,G R MIDDY SET
GIRLS WEAR,126,G R DANGRI 
GIRLS WEAR,127,G R JUM SUIT
MENS WEAR,128,MENS CAUSAL SHIRT 
MENS WEAR,129,MENS LINEN SHIRT
BOYS WEAR,130,BOYS 2PC SUIT
BOYS WEAR,131,BOYS PANT SHIRT
WOMENS PARTY  WEAR,132,NIGHTY
BOYS WEAR,133,BOYS KURTHA
BOYS WEAR,134,BOYS COAT MODEL
BOYS WEAR,135,BOYS SHORTS
BOYS WEAR,136,BOYS NIGHT PANTS
ETHNIC WEAR,137,MENS CHAPPALS/SANDALS
MENS WEAR,138,MENS DHOTHI
ETHNIC WEAR,139,MENS KURTA PYJAMA
BOYS WEAR,140,BABY WASH CLOTH
BOYS WEAR,141,NAPKINS
BOYS WEAR,142,SLEEP SUITS
BOYS WEAR,143,ROMPER
BOYS WEAR,144,PANT RIBS
BOYS WEAR,145,BABY TOWELL
BOYS WEAR,146,BABY WRAPPER
GIRLS WEAR,147,KIDS NEW BORN
ETHNIC WEAR,148,mens waistcoat
GIRLS WEAR,149,GIRLS JEGIN SET
GIRLS WEAR,150,GIRLS LONG FROCK
GIRLS WEAR,151,KILLOT SET
MENS WEAR,152,MENS SHRUGS
GIRLS WEAR,153,GIRLS CHOLI
BOYS WEAR,154,BOYS BLAZER T-SHIRT
MENS WEAR,155,MENS NIGHT PANT
MENS WEAR,156,MENS SHORT
NON-WOVEN FABRIC SHEETS,157,NON-WOVEN FABRIC SHEETS 5603
GIRLS WEAR,158,GIRLS GARARA
ETHNIC WEAR,159,MENS MODI COAT
BOYS WEAR,160,BOYS BABA SUIT
WOMENS PARTY  WEAR,161,LADIES MIDI
WOMENS PARTY  WEAR,162,LADIES TUNIC
MENS WEAR,163,MENS WODIES
WOMENS PARTY  WEAR,164,LADIES NIGHT WEAR
MENS WEAR,165,MENS BANIYAN
ETHNIC WEAR,166,MENS SUIT
BOYS WEAR,167,SWEATSHIRTS
BOYS WEAR,168,BOYS HOODIES
GIRLS WEAR,169,GIRLS HOODIES
MENS WEAR,170,FORMAL SHOES
GIRLS WEAR,171,GIRLS HALF SAREE
MENS WEAR,172,MENS K+J
WOMENS PARTY  WEAR,173,PATTU TOPS
WOMENS PARTY  WEAR,174,LADIES HALF SAREE(NOT)
BOYS WEAR,175,BOYS PANTS
BOYS WEAR,176,BOYS SADHRIYA
NON-WOVEN FABRIC SHEETS,177,CARRY BAG
BOYS WEAR,178,BOYS NEW BORN
GIRLS WEAR,179,GIRLS NEW BORN
WOMENS PARTY  WEAR,180,LADIES T-SHIRT
BOYS WEAR,181,BOYS JEANS JACKET
BOYS WEAR,182,BOYS SHRUGS
BOYS WEAR,183,BOYS T-SHIRT & SHORT
GIRLS WEAR,184,GIRLS STONE WORK
ETHNIC WEAR,185,SUIT COVER
BOYS WEAR,186,BOYS JODHPURI
GIRLS WEAR,187,GIRLS SHORT FROCK
GIRLS WEAR,188,GIRLS FARSHI
ETHNIC WEAR,189,MENS WEST COAT
ETHNIC WEAR,190,MENS 4 PCS SUIT
BOYS WEAR,191,BOYS LOWER
BOYS WEAR,192,BOYS T-SHIRT NIKKAR
WOMENS PARTY  WEAR,193,PAKISTANI SUIT(NOT)
WOMENS PARTY  WEAR,194,DRESS MATERIAL(NOT)
WOMENS PARTY  WEAR,195,VICHITRA MATERIAL
WOMENS PARTY  WEAR,196,LADIES COAT SET
WOMENS PARTY  WEAR,197,LADIES WESTERN TOP
ETHNIC WEAR,198,MENS 2PC SUIT
WOMENS PARTY  WEAR,199,FEEDING TOPS
WOMENS PARTY  WEAR,200,STONE MATERIAL(NOT)
GIRLS WEAR,201,GIRLS INDO WESTERN
GIRLS WEAR,202,GIRLS COAT MODEL
WOMENS PARTY  WEAR,203,ALIA CUT TOPS
WOMENS PARTY  WEAR,204,WORK TOPS
BOYS WEAR,205,BOYS JOGGERS
BOYS WEAR,206,BOYS COTTON PANT
MENS WEAR,207,MENS LYCRA PANTS
WOMENS PARTY  WEAR,208,L.D GERA TOPS
WOMENS PARTY  WEAR,209,L.D INDO WESTERN
GIRLS WEAR,210,G. PATTU CROP TOP
GIRLS WEAR,211,G.SALWAR SUIT
ETHNIC WEAR,212,MENS LUCKNAWY K.P
GIRLS WEAR,213,G PATTU LONG FROCK
MENS WEAR,214,MENS SADHRIYA (NOT)
WOMENS PARTY  WEAR,215,L.D CIGRATTE PANT
WOMENS PARTY  WEAR,216,L.D CHICKEN (NOT)
WOMENS PARTY  WEAR,217,L.D DHOTI PANT
WOMENS PARTY  WEAR,218,LADIES JUMBO 
GIRLS WEAR,219,GIRLS CHERRY FROCK
GIRLS WEAR,220,G KALANKARI LF
BOYS WEAR,221,B OPEN JACKET MODEL
WOMENS PARTY  WEAR,222,LD WORK PLAZO SET
MENS WEAR,223,MENS FANCY SHIRTS
GIRLS WEAR,224,GIRLS BARBIE FROCK
GIRLS WEAR,225,G POPCORN PANT
GIRLS WEAR,226,G KODRO PLAZO
GIRLS WEAR,227,G STIKER JOGERS
GIRLS WEAR,228,G. KILAR PLAZOP
MENS WEAR,229,M NECK WORK KP
WOMENS PARTY  WEAR,230,LD STONE WORK TOP
WOMENS PARTY  WEAR,231,LD ROSE GERA TOPS
WOMENS PARTY  WEAR,232,LD KIARA GERA TOPS
GIRLS WEAR,233,GIRLS COTTON FROCKS
GIRLS WEAR,234,G KODRO CAPRI
MENS WEAR,235,G KODRO LES PLAZO
GIRLS WEAR,236,G KODRO FLOWERS PLAZO
GIRLS WEAR,237,G KODRO PANT
GIRLS WEAR,238,G KODRO JEGING
GIRLS WEAR,239,G PLAN JEGING
GIRLS WEAR,240,G KODRO ZIPER JOGERS
GIRLS WEAR,241,G DENIUM JOGERS
GIRLS WEAR,242,G FANCY PLAZO PANT
GIRLS WEAR,243,G KOD SET
GIRLS WEAR,244,G POPCORN T SHIRTS
WOMENS PARTY  WEAR,245,LD MIDDI TOPS
WOMENS PARTY  WEAR,246,LD KOLLER TOPS
WOMENS PARTY  WEAR,247,LD SIMMER
WOMENS PARTY  WEAR,248,LD PRINT PLAZO
WOMENS PARTY  WEAR,249,LD SCARFF 
MENS WEAR,250,MENS LOWERS
MENS WEAR,251,M WORK KURTA PYJAMA
BOYS WEAR,252,B OPEN LONG SHERWANI
WOMENS PARTY  WEAR,253,LD CTN CIGRATE PANT
WOMENS PARTY  WEAR,254,LD ANKLE LEGGINS
WOMENS PARTY  WEAR,255,LD FULL LEGGINS
WOMENS PARTY  WEAR,256,COTTON DM
WOMENS PARTY  WEAR,257,LD KALI TOPS
WOMENS PARTY  WEAR,258,LD RAYON GERA TOP
WOMENS PARTY  WEAR,259,2-TONE DRESS MATERIAL(not)
MENS WEAR,260,MENS OFFER SHIRT
WOMENS PARTY  WEAR,261,LD WESTERN TOPS (NOT)
WOMENS PARTY  WEAR,262,LD SAHELI TOPS
WOMENS PARTY  WEAR,263,LD POCKET TOP
WOMENS PARTY  WEAR,264,OFFER D.M
WOMENS PARTY  WEAR,265,LD OFFER CHUNNIES
WOMENS PARTY  WEAR,266,LD CAPSULE TOPS
WOMENS PARTY  WEAR,267,LD APPLE TOPS
WOMENS PARTY  WEAR,268,JEEL PLAZO
GIRLS WEAR,269,G OFFER T SHIRT
WOMENS PARTY  WEAR,270,LD BURBERRY H.S
WOMENS PARTY  WEAR,271,LD PAITHANI H.S
GIRLS WEAR,272,G CAPRI PANT
GIRLS WEAR,273,G CAPRI PLAZO
BOYS WEAR,274,BOYS SWEATER T SHIRT
NON-WOVEN FABRIC SHEETS,275,TOOLS
WOMENS PARTY  WEAR,276,LD PRINCE CUT TOPS
WOMENS PARTY  WEAR,277,LD B PLAZO SET
BOYS WEAR,278,BOYS WORK 5PCS SUIT
GIRLS WEAR,279,G SMALL BABY FROCK
WOMENS PARTY  WEAR,280,LD STONE SHARARA
WOMENS PARTY  WEAR,281,LD B TOPS
WOMENS PARTY  WEAR,282,LD AVNI TOPS
WOMENS PARTY  WEAR,283,LD POPCORN TOPS
BOYS WEAR,284,BOYS FANCY S.P
WOMENS PARTY  WEAR,285,LD S PLAZO SET
WOMENS PARTY  WEAR,286,LD CHINON SUIT
GIRLS WEAR,287,GIRLS SP L.F
WOMENS PARTY  WEAR,288,LD LUCKNAVI TOPS
GIRLS WEAR,289,G WHITE FROCK
MENS WEAR,290,MENS O.O SHIRTS
WOMENS PARTY  WEAR,291,LD OFFER STW
GIRLS WEAR,292,G SHORT TOPS
WOMENS PARTY  WEAR,293,LD S TOPS
WOMENS PARTY  WEAR,294,LD BIG TOPS
BOYS WEAR,295,BOYS OFFER SET
BOYS WEAR,296,BOYS 3PCS SET
BOYS WEAR,297,BOYS OFFER SHIRTS
BOYS WEAR,298,BOYS OFFER JEANS
WOMENS PARTY  WEAR,299,LD BURBERRY D.M
BOYS WEAR,300,BOYS OO SHIRTS
MENS WEAR,301,MENS OFFER K P
BOYS WEAR,302,BOYS FANCY SHIRTS
MENS WEAR,303,MENS O.O PANTS
WOMENS PARTY  WEAR,304,LD OFFER LEGGINGS
MENS WEAR,305,M WORK 5PCS SUIT
MENS WEAR,306,MENS HALDI KURTHA
WOMENS PARTY  WEAR,307,LD BRIDAL FROCK
WOMENS PARTY  WEAR,308,LD HERAMANDI PLAZO
WOMENS PARTY  WEAR,309,LD SEMISTICHED DM
WOMENS PARTY  WEAR,310,LD ALINA CUT
WOMENS PARTY  WEAR,311,LD HERA MANDI PLAZO
WOMENS PARTY  WEAR,312,FANCY DRESS MATERIAL
WOMENS PARTY  WEAR,313,WORK DRESS MATERIAL
WOMENS PARTY  WEAR,314,LD PATTU HALF SAREES
WOMENS PARTY  WEAR,315,FEENDY D.M
WOMENS PARTY  WEAR,316,GEORGATE D.M(NOT)
WOMENS PARTY  WEAR,317,CRUNCHI DRESS MATERIAL(NOT)
WOMENS PARTY  WEAR,318,LD JAIPUR TOPS(NOT)
MENS WEAR,319,M LONG JACKET MODEL
WOMENS PARTY  WEAR,320,LD TOP & BOTTOM(NOT)
WOMENS PARTY  WEAR,321,ORGANZA DRESS MATERIAL(NOT)
SAREES,322,HEAVY WORK SAREES
DRESS MATERIAL,323,LD PAKISTANI DRESSES
DRESS MATERIAL,324,SEMISTICHED DM
SAREES,325,KATHAN SAREES
WOMENS PARTY  WEAR,326,LD BRIDEL LEHENGA(NOT)
WOMENS PARTY  WEAR,327,LD PARTY WEAR SETS(NOT)
SAREES,328,OFFER WORK SAREES
SAREES,329,WORK SAREES
WOMENS PARTY  WEAR,330,LD SEMISTICTHED
WOMENS PARTY  WEAR,331,LD VELVET FROCK
DRESS MATERIAL,332,SEMISTICH WORK DM
LD 3PCS SET,333,LD PAKISTANI SETS
SAREES,334,BANARASI SAREES
WOMENS PARTY  WEAR,335,LD GEM SUITS(NOT)
WOMENS PARTY  WEAR,336,LD CHOLI SHARARA
WOMENS PARTY  WEAR,337,LD COAT MODEL
WOMENS PARTY  WEAR,338,LD CROP TOP
WOMENS PARTY  WEAR,339,LD SHARARA
WOMENS REGULAR WEAR,340,LD SURAT CHUNNIES
DRESS MATERIAL,341,LD HEAVY STONE DM
LD 3PCS SET,342,LD PLAZO SET
LD 3PCS SET,343,LD GERA PLAZO SET
MENS WEAR,344,MENS SHORT KURTHA
WOMENS REGULAR WEAR,345,LD TOPS
LD 3PCS SET,346,LD FEEDING PLAZOSET
SAREES,347,VICHITRA SAREES
WOMENS REGULAR WEAR,348,LD LONG FROCK
WOMENS REGULAR WEAR,349,LD INDOWESTERN
WOMENS REGULAR WEAR,350,LD FEEDING TOPS
LD 3PCS SET,351,LD REYON P.S
WOMENS REGULAR WEAR,352,LD OFFER NIGHTIES
DRESS MATERIAL,353,LD REGULAR D.M
WOMENS REGULAR WEAR,354,LD REYON FEEDING TOPS
WOMENS REGULAR WEAR,355,LD GERA TOPS
WOMENS PARTY  WEAR,356,LD HALF SAREES(NOT)
WOMENS REGULAR WEAR,357,LD NIGHT CORD SET
WOMENS PARTY  WEAR,358,LD GARARA
WOMENS REGULAR WEAR,359,LD TISHU TOPS
WOMENS REGULAR WEAR,360,LD ALIA CUTS TOP
WOMENS REGULAR WEAR,361,LD BUNDI GERA TOPS
WOMENS REGULAR WEAR,362,LD PRINCE CUT TOP
WOMENS REGULAR WEAR,363,LD STONE WORK TOPS
LD 3PCS SET,364,LD TISHU PLAZO SET
MENS WEAR,365,M COTTON KURTA PYJAMA
WOMENS PARTY  WEAR,366,PAKISTANI OFFER SUITS(NOT)
WOMENS REGULAR WEAR,367,LD KALI GERA TOP
WOMENS REGULAR WEAR,368,LD COLLAR TOPS
WOMENS PARTY  WEAR,369,ONE MINT SAREES
MENS WEAR,370,MENS COTTON K.P
WOMENS REGULAR WEAR,371,LD OFFER LEGGINS
WOMENS PARTY  WEAR,372,COTTON PAKISTANI SUIT(NOT)
ETHNIC WEAR,373,MENS SHERWANI
SAREES,374,BURBERRY SAREES 
WOMENS REGULAR WEAR,375,LD BUTTERFLY TOPS
WOMENS REGULAR WEAR,376,OFFER SCARF
SAREES,377,SILK SAREES
SAREES,378,KASHMIRI SAREES
DRESS MATERIAL,379,GEORGATE D.M
DRESS MATERIAL,380,CRUNCHI D.M
WOMENS REGULAR WEAR,381,LD JAIPUR TOPS
WOMENS REGULAR WEAR,382,LD TOP & DUPATTA
DRESS MATERIAL,383,ORGANZA D.M
LADIES LEHENGAS,384,LD BRIDAL LEHENGA
LD 3PCS SET,385,LD PARTY WEAR SETS
LD 3PCS SET,386,LD GEM SUITS (NOT 1)
LADIES LEHENGAS,387,LD HALF SAREE
DRESS MATERIAL,388,PAKISTANI SUITS
DRESS MATERIAL,389,PAKISTANI OFFER SUITS
DRESS MATERIAL,390,COTTON PAKISTANI SUIT
WOMENS REGULAR WEAR,391,LADIES KURTIES
WOMENS REGULAR WEAR,392,DRESS MATERIAL
WOMENS REGULAR WEAR,393,LADIES TOPS
WOMENS REGULAR WEAR,394,LADIES PLAZO
DRESS MATERIAL,395,LD DRESS MATERIAL
MENS WEAR,396,M FORMAL PANTS
DRESS MATERIAL,397,LD STONE DM
LD 3PCS SET,398,LD MULTY PLAZO SET
DRESS MATERIAL,399,2 TONE DM
LD 3PCS SET,400,LD LUKHNAVI PLAZO SET
WOMENS REGULAR WEAR,401,LD CHICKEN PLAZO
ETHNIC WEAR,402,M OFFER INDO WESTERN
DRESS MATERIAL,403,LD PARTY WEAR DM
WOMENS PARTY  WEAR,404,LD HEAVY LONG FROCK
LD 3PCS SET,405,LD HEAVY PLAZO SET
MENS WEAR,406,MENS OPEN JACKET
WOMENS PARTY  WEAR,407,ANUGRAH MODEL
MENS WEAR,408,M OPEN JACKET MODEL (NOT)
MENS WEAR,409,M WORK SUITS
WOMENS REGULAR WEAR,410,LD LEGGINS
WOMENS PARTY  WEAR,411,LD ANGRAKHA MODEL
SAREES,412,FANCY SAREES
ETHNIC WEAR,413,M OPEN JODHPURI
WOMENS PARTY  WEAR,414,KASHMIRI HERAMANDI PLAZO
MENS WEAR,415,M SIKANDAR KP
LD 3PCS SET,416,LD PAKISTANI PS
WOMENS REGULAR WEAR,417,LD WORK TOPS
ETHNIC WEAR,418,M OPEN SHERWANI
WOMENS PARTY  WEAR,419,KHADA DUPPATTA
DRESS MATERIAL,420,LD KASHMIRI DM
WOMENS REGULAR WEAR,421,LD GEORGETTE DM
WOMENS REGULAR WEAR,422,LD CORD SET (NOT)
MENS WEAR,423,M BLACK T SHIRT
MENS WEAR,424,M WHITE T SHIRT
MENS WEAR,425,M CARGO PANTS
MENS WEAR,426,MENS JOGGER PANTS
WOMENS PARTY  WEAR,427,LD KARACHI MODEL
MENS WEAR,428,MENS SATIN SHIRTS
LD 3PCS SET,429,LD COTTON P.S
LD 3PCS SET,430,LD CORD SET
ETHNIC WEAR,431,M OPEN JACKET MODEL
ETHNIC WEAR,432,MENS SADRIYA
WOMENS PARTY  WEAR,433,LD BRIDAL LONG FROCK
WOMENS PARTY  WEAR,434,LD JACKET LONG FROCK
WOMENS PARTY  WEAR,435,LD KALI LONG FROCK
WOMENS PARTY  WEAR,436,LD KASHMIRI PLAZO
WOMENS PARTY  WEAR,437,LD KALI PLAZO
SAREES,438,B CUT WORK SAREES
WOMENS REGULAR WEAR,439,LD FANCY TOP
SAREES,440,COTTON SILK SAREES
WOMENS PARTY  WEAR,441,LD OFFER LONG FROCK
WOMENS PARTY  WEAR,442,LD HERAMANDI PANT
WOMENS PARTY  WEAR,443, LD KASHMIRI H.M.P
MENS WEAR,444,M DHOTI KURTA
WOMENS REGULAR WEAR,445,BANARASI DUPPATA
GIRLS WEAR,446,G CORD SET
SAREES,447,DIGITAL WORK SAREES
WOMENS REGULAR WEAR,448,LD RAYON NIGHT SUIT
WOMENS REGULAR WEAR,449,LD WHITE TOPS
WOMENS REGULAR WEAR,450,LD THREAD WORK TOPS
WOMENS REGULAR WEAR,451,LD THREAD TOPS
WOMENS REGULAR WEAR,452,LD WESTERN TOPS
WOMENS PARTY  WEAR,453,LD WHITE BARBIE L.F
WOMENS PARTY  WEAR,454,LD FARSHI LEHENGA
WOMENS PARTY  WEAR,455,DELHI LONG FROCK
MENS WEAR,456,MENS BAGGI JEANS
MENS WEAR,457,MENS COTTON JEANS
LD 3PCS SET,458,LD TOPS & BOTTOM
MENS WEAR,459,MENS FORMAL SHIRTS
DRESS MATERIAL,460,RAJWADI MATERIAL
LD 3PCS SET,461,PAKISTANI CORD SET
ETHNIC WEAR,462,MENS WORK 5 PIC SUITS
LADIES LEHENGAS,463,LD VELVET LEHENGA
LD 3PCS SET,464,LD CHINON PLAZO
LD 3PCS SET,465,LD TOP & BOTTOM
DRESS MATERIAL,466,LD TURKISH MATERIAL
WOMENS PARTY  WEAR,467,LD LEHENGA
ETHNIC WEAR,468,M NAWABI SHERWANI
LADIES LEHENGAS,469,LD NET LEHENGAS
WOMENS PARTY  WEAR,470,DOUBLE DUPPATA LEHENHA
DRESS MATERIAL,471,LD JARKHAN DRESSES
WOMENS PARTY  WEAR,472,LD RUSSAIN PLAZO
SAREES,473,MALAI SILK SAREES
WOMENS REGULAR WEAR,474,LD 2PCS SETS
GIRLS WEAR,475,GIRLS COAT SET
GIRLS WEAR,476,GIRLS KURTI PANT
GIRLS WEAR,477,GIRLS PLAZO MODEL
GIRLS WEAR,478,GIRLS KARACHI PLAZO
GIRLS WEAR,479,GIRLS RUSSAIN PLAZO
GIRLS WEAR,480,GIRLS SHARARA
BOYS WEAR,481,BOYS CARGOO
GIRLS WEAR,482,GIRLS DANGRI
WOMENS REGULAR WEAR,483,LD PLAZO PANTS
GIRLS WEAR,484,GIRLS PANTS
GIRLS WEAR,485,GIRLS WESTERN SET
GIRLS WEAR,486,GIRLS CHANDARI PLAZO
GIRLS WEAR,487,GIRLS COSMO PLAZO
ETHNIC WEAR,488,MENS WORK JODHPURI
MENS WEAR,489,MENS OFFER PANTS
WOMENS REGULAR WEAR,490,LD PARTYWEAR TOPS
BOYS WEAR,491,BOYS PARTY WEAR SHIRTS
MENS WEAR,492,PAYJAMA
BOYS WEAR,493,BOYS FORMAL PANTS
LD 3PCS SET,494,LD BEETS PLAZO SET
GIRLS WEAR,495,G BEATS CROP TOP
WOMENS PARTY  WEAR,496,LD BEATS LEHENGA 
BOYS WEAR,497,BOYS CARGOO JEANS
BOYS WEAR,498,B OPEN JODHPURI
BOYS WEAR,499,BOYS OFFER SHRUGS
DRESS MATERIAL,500,FANCY DRESS MATERIALS
WOMENS PARTY  WEAR,501,LD BEATS SHARARA
WOMENS PARTY  WEAR,502,HEAVY WORK R.P
ETHNIC WEAR,503,M WORK OPEN JODHPURI
ETHNIC WEAR,504,M.W OPEN JACKET MODEL
WOMENS PARTY  WEAR,505,LD B ALINAN CUT
WOMENS PARTY  WEAR,506,LD STONE R.P
WOMENS PARTY  WEAR,507,LD BEATS R.P
WOMENS PARTY  WEAR,508,LD STONE C.M
WOMENS PARTY  WEAR,509,LD STONE A.C
WOMENS PARTY  WEAR,510,LD BEATS A.C
WOMENS PARTY  WEAR,511,LD OFFER P.W
DRESS MATERIAL,512,LD GEM SUITS
WOMENS REGULAR WEAR,513,LD CHUNNIES
GIRLS WEAR,514,G PAKISTANI P.S
WOMENS PARTY  WEAR,515,LD VIRAL ARTICLE
MENS WEAR,516,M OFFER T-SHIRTS
GIRLS WEAR,517,G ALINA CUT
GIRLS WEAR,518,G BEATS PLAZO
DRESS MATERIAL,519,LD BEATS D.M
WOMENS PARTY  WEAR,520,LADIES BEATS L.F
WOMENS PARTY  WEAR,521,LD BEATS VELVET PLAZO
WOMENS PARTY  WEAR,522,LD BEATS VELVET FARSHI
BOYS WEAR,523,BOYS CARGO PANT
WOMENS PARTY  WEAR,524,LD PARTY WEAR P.S
LD 3PCS SET,525,LD COAT PLAZO SET
LADIES LEHENGAS,526,LD BEATS B LEHENGA
WOMENS PARTY  WEAR,527,LD BEATS PLAZO
GIRLS WEAR,528,G PONOPANT SHARARA
DRESS MATERIAL,529,LD PAKISTANI D.M
GIRLS WEAR,530,G BEATS PONOPANT
GIRLS WEAR,531,G PONOPANT
GIRLS WEAR,532,G MUSLIM DRESSES
ETHNIC WEAR,533,M VELVET SADRIYA
GIRLS WEAR,534,G MUSLIM TASTE
BOYS WEAR,535,B WORK JODHPURI
MENS WEAR,536,M WORK SHIRTS
LD 3PCS SET,537,LD KARACHI P.S
BOYS WEAR,538,B DHURANDAR
GIRLS WEAR,539,G FARSHI SALWAR
BOYS WEAR,540,BOYS PATHANI
MENS WEAR,541,MENS PATHANI
ETHNIC WEAR,542,MENS 3PCS SUIT
GIRLS WEAR,543,G OFFER P.W
MENS WEAR,544,MENS ARMANI K.P
SAREES,545,K SAREE WITH DUPATTA
ETHNIC WEAR,546,M W JODHPURI
